title,company_name,location,contract_type,remote,salary,experience_min,management,competences,published_date
"CHEF DU SERVICE CONTRATS, PROCESS & DATA (F/H)",SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, France",Emploi permanent - création d'emploi,partiel,,10.0,True,"['Gestion de contrats complexes (DSP, PPP)', ""Pilotage d'équipe"", 'Connaissance des transports publics', 'Contrôle de gestion', 'Travail en transversalité et en mode projet', 'Analyse et synthèse', 'Connaissance des collectivités territoriales']",2025-12-08
"Chargé de la mission Data, simplification, innovation, qualité de vie au travail (h/f)",Département des Hauts-de-Seine,"14 Rue Hoche, Puteaux (Hauts-de-Seine (92))",Emploi permanent - création d'emploi (contractuel possible à titre dérogatoire),,,,False,"['SQL', 'Python', 'Power BI', 'Big Data', 'Gestion de projet (Agile, Scrum)', 'Architectures data (bases de données, ETL, cloud)', 'Développement applicatif', 'Innovation publique', 'Transformation numérique']",2025-12-01
Responsable de l’ingénierie fonctionnelle de la donnée,Valence Romans Agglo,"Espace Jacques Brel, 1, Place Jacques Brel, Valence (Drôme (26))",Emploi permanent - création d'emploi,,,,True,"['Gestion de données', 'Structuration de données', 'Analyse de données', 'Gouvernance des données', 'ETL/ELT', 'Datavisualisation', 'OpenSource (Kestra, Ducklake, OpenMetaData, Superset, Qlik Sense)']",2025-12-12
Délégué à la Protection des Données (H/F),LE DEPARTEMENT DU TARN,"35 Lices Georges Pompidou, Albi (Tarn (81))",Emploi permanent - vacance d'emploi,non,,,True,"['Pilotage de projets stratégiques', 'Expertise juridique (RGPD, veille réglementaire)', ""Culture et maîtrise des systèmes d'information"", 'Qualités rédactionnelles', 'Organisation et procédures', 'Animation de réunions collaboratives', 'Développement et animation de réseaux partenariaux', 'Rigueur, autonomie et réactivité', 'Coopération interservices et transversalité', 'Aisance relationnelle']",2025-12-04
Chef de Projet Système d'Information Décisionnel (h/f),CONSEIL DEPARTEMENTAL DE L'ARDECHE,"La Chaumette BP 737, Privas (Ardèche (07))",Emploi permanent - vacance d'emploi,,,,True,"[""Expertise des techniques, normes, référentiels et outils liés à un système d'information décisionnel"", ""Maîtrise des outils de stockage (Data Warehouse), d'extraction (ETL) et de datavisualisation (DigDash, Power BI, BO, ...)"", ""Langage SQL, formats XML, JSON et interrogations d'API Rest"", 'Bases de données (PostgreSQL, Oracle, SQL Server)', 'Langage de programmation (Python)', 'Pilotage de projets stratégiques', 'Analyse des besoins métiers et fonctionnels', ""Rigueur, esprit d'équipe, capacité d'analyse et d'écoute""]",2025-12-11
Ingénieur Bases de données,Service Départemental d'Incendie et de Secours de l'Hérault (SDIS 34),Vailhauquès (Hérault (34)),Emploi permanent - vacance d'emploi,,Traitement de base + astreintes + primes + avantages sociaux,,False,"['Gestion des bases de données', 'ETL', 'O365 (PowerApps)', 'Oracle', 'MySQL', 'Autonomie', 'Disponibilité', 'Qualités relationnelles']",2026-01-05
Chargé ou chargée de projets systèmes d'information solidarités,CONSEIL DEPARTEMENTAL DE LOIRE-ATLANTIQUE,"8 rue Sully NANTES, Loire-Atlantique (44)",CDD,partiel,,,False,"['Culture informatique', 'Outils bureautiques', 'Business Objects', 'Conduite de projets', 'Autonomie', 'Pédagogie', 'Travail en équipe', 'Animation de groupes de travail', 'Connaissance des outils SOLIS ou HORUS (plus)']",2026-01-05
Chef de projet pilotage et valorisation des données (F/H),Métropole du Grand Nancy,"22/24 Viaduc Kennedy, Nancy (Meurthe-et-Moselle (54))",Emploi permanent - vacance d'emploi,partiel,,,True,"['Pilotage de projets transverses', 'Gestion des données financières', 'Contrôle de gestion', ""Développement d'outils et interfaces"", 'Analyse des risques', ""Coordination d'interlocuteurs multiples"", 'Automatisation et industrialisation des processus']",2025-12-08
Chargé de projet outils et données d'exploitation,Île-de-France Mobilités,"39 bis-41 rue de Châteaudun, Paris",Emploi permanent - création d'emploi,partiel,,1.0,False,"['Connaissance des outils bureautiques et reporting/BI', 'Conception d’une offre de transport (dont graphicage)', 'Procédure de marchés publics', 'Connaissance des workflows, droits d’accès, référentiels', 'Connaissance technique systèmes d’information (architecture, interfaces, script)', 'Connaissance des bases de données, SIG', 'Analyser des données multiples', 'Capacités rédactionnelles et de synthèse', 'Comprendre les besoins des utilisateurs et les traduire en paramétrage d’outils', 'Capacité à travailler en mode projet', 'Savoir faire des tests fonctionnels', 'Communication, pédagogie', 'Argumenter et structurer son propos', 'Curiosité, rigueur et organisation', 'Travail en transversalité avec d’autres équipes']",2025-12-17
Chargé de projet outils et données d'exploitation,Île-de-France Mobilités,"39 bis-41 rue de Châteaudun, Paris",Emploi permanent - création d'emploi,partiel,,1.0,False,"['Connaissance des outils bureautiques et reporting/BI', 'Conception d’une offre de transport (dont graphicage)', 'Procédure de marchés publics', 'Connaissance des workflows, droits d’accès, référentiels', 'Connaissance technique systèmes d’information (architecture, interfaces, script)', 'Connaissance des bases de données, SIG', 'Analyser des données multiples', 'Capacités rédactionnelles et de synthèse', 'Comprendre les besoins des utilisateurs et les traduire en paramétrage d’outils', 'Capacité à travailler en mode projet', 'Savoir faire des tests fonctionnels', 'Communication, pédagogie', 'Argumenter et structurer son propos', 'Curiosité, rigueur et organisation', 'Travail en transversalité avec d’autres équipes']",2025-12-17
Chargé de mission gouvernance et analyse des données (h/f),AGENCE NATIONALE DE L'HABITAT,"8 Avenue de l'Opéra, Paris",Emploi permanent - vacance d'emploi,,,,False,"['manipulation/traitement de données', ""maîtrise des principaux outils d'analyse"", 'connaissance du secteur du logement', ""capacité d'adaptation"", 'autonomie']",2025-12-15
Gestionnaire bases de données et documentation patrimoniale H/F,Conseil départemental des Yvelines,"2 Avenue de Lunca, Montigny-le-Bretonneux (Yvelines (78))",Emploi permanent - vacance d'emploi,,,2.0,False,"[""Gestion informatisée et manuelle d'un fonds et d'une base documentaire"", 'Administration des bases de données (Filemaker/Arkothèque, Syrtis)', 'Catalogage et classement (bibliothéconomie)', 'Recherche documentaire et veille thématique', 'Connaissance du droit de la propriété intellectuelle et du patrimoine', 'Maîtrise des outils bureautiques et PAO', 'Techniques de conservation des documents']",2025-12-09
Administrateur de bases de données (h/f),Mairie de Boulogne-Billancourt,Boulogne-Billancourt (Hauts-de-Seine (92)),Emploi permanent - création d'emploi,,,2.0,False,"['Administration SGBD (Oracle, SQL Server, MySQL, PostgreSQL)', 'Administration systèmes Windows et Linux', 'Tomcat et PHP', 'Haute disponibilité, réplication, clustering', 'Sauvegarde et restauration des bases de données', ""Résolution d'incidents"", 'Travail en équipe et communication technique']",2025-12-03
Administrateur ou Administratrice systèmes et bases de données,MONTPELLIER MEDITERRANEE METROPOLE,"50 place Zeus, Montpellier (Hérault (34))",Emploi permanent - vacance d'emploi,,,,False,"['Administration systèmes et bases de données', 'Gestion des bases de données Oracle et PostgreSQL', ""Sécurité des systèmes d'information"", 'Sauvegarde (Veeam)', 'Documentation CMDB (ITOP)', 'Travail en équipe', 'Proactivité']",2025-11-25
Directeur.trice adjoint.e des Systèmes d'Information,Conseil départemental de Meurthe et Moselle,"48 esplanade Jacques Baudot, Nancy (Meurthe-et-Moselle (54))",Emploi permanent - vacance d'emploi,partiel,,,True,"[""Management d'équipes opérationnelles"", 'Gouvernance IT', 'Pilotage de projets SI', 'Urbanisation et architecture SI', 'Conduite du changement', 'Normes et réglementations IT (RGPD, sécurité)', 'Méthodologies ITIL et Agile', 'Gestion de données et Business Intelligence']",2025-12-09
Chargé de mission statistiques et suivi des projets SI (h/f),Conseil départemental de la manche,"Maison du Département, Saint-Lô (Manche (50))",Emploi permanent - vacance d'emploi,,,,False,"['Gestion de projet et amélioration continue', 'Analyse de données', 'Maîtrise des outils informatiques (suite Microsoft, Excel avancé, BusinessObject, Qliksense)', ""Connaissance des métiers de l'autonomie"", 'Méthodologie de projet et animation de groupes de travail', 'Qualités rédactionnelles et de synthèse', 'Accompagnement au changement']",2025-12-15
Technicien études méthodes de production (h/f),Syndicat interdépartemental pour l'assainissement de l'agglomération parisienne (SIAAP),Noisy-le-Grand (Seine-Saint-Denis (93)),CDD,partiel,,,False,"[""Connaissances techniques du domaine de l'assainissement et de la valorisation des boues"", 'Connaissances en génie des procédés', 'Gestion de projet', 'Informatique bureautique', 'Management QSE', 'Utilisation de la GMAO', ""Expérience terrain dans le traitement de l'eau""]",2026-01-02
Chargé(e) de mission du service public départemental de l’autonomie,Conseil départemental de Guadeloupe,"Basse-Terre, Jarry, Baie-Mahault (Guadeloupe)",Emploi permanent - création d'emploi (ouvert aux contractuels pour une durée maximale de 2 ans),non,,,False,"['Environnement territorial et réseaux stratégiques', ""Méthodes d'ingénierie de projets et planification"", ""Techniques d'évaluation et benchmarking"", ""Animation de réunions et pilotage d'équipe"", 'Communication écrite et orale', 'Gestion administrative et budgétaire', 'Analyse de données et reporting', 'Conduite de projets et coordination']",2025-12-23
Chargé d'études (h/f),Ville de Fontenay-sous-Bois,"Fontenay-sous-Bois (Val-de-Marne, 94)",Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"['Techniques budgétaires et comptables publiques', 'Recueil et traitement de données', 'Calcul des coûts et comptabilité analytique', 'Analyse et évaluation des politiques publiques', ""Maîtrise d'Excel et Word"", 'Logiciels métier (Ciril Finances)', 'Travail en équipe', 'Capacités rédactionnelles']",2025-12-12
Chargé du contrôle de gestion sociale et des audits organisationnels (H/F),Commune de Colmar,"1 place de la mairie - bp 50528, Colmar (Haut-Rhin (68))",Emploi permanent - vacance d'emploi (ou contrat dérogatoire de 3 ans renouvelable),non,Rémunération statutaire sur la grille indiciaire des attachés territoriaux + régime indemnitaire,,False,"[""Maîtrise des outils de contrôle de gestion et d'analyse des données RH"", 'Connaissances approfondies du statut de la fonction publique territoriale et des règles des finances locales', ""Maîtrise des méthodes d'audit et des techniques statistiques"", 'Capacité à concevoir des tableaux de bord et à produire des analyses stratégiques', ""Maîtrise avancée d'Excel et des logiciels SIRH"", 'Expérience en contrôle de gestion RH, GPEEC, audit organisationnel ou suivi de la masse salariale']",2025-12-24
Chargé d'études en urbanisme prévisionnel et opérationnel (h/f),Commune de Cannes,"Hôtel de Ville - Mairie de Cannes, Alpes-Maritimes (06)",Emploi permanent - vacance d'emploi (ouvert aux contractuels pour une durée maximale de 2 ans),non,,,False,"['Urbanisme', 'Aménagement du territoire', 'Géographie', 'PLU, SCOT, SRADDET', 'SIG (ArcGIS)', 'CAO/PAO', 'Analyse de données', 'Rédaction de notes et rapports', 'Conduite de projets urbains', 'Suite Office']",2025-12-15
"Chargé de mission auprès de la DGA ressources financières, juridiques, numérique et commandes publiques (h/f)",Ville de Créteil,"Créteil (Val-de-Marne, 94)",Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,"Rémunération statutaire, RIFSEEP, primes semestrielles",,False,"['Pilotage et suivi de dossiers', 'Gestion de projets', 'Analyse et évaluation', 'Maîtrise des risques et contrôle interne', 'Coordination de projets SI', 'Rédaction de cahiers des charges', 'Tableaux de bord et indicateurs']",2025-12-19
